n,beta,alpha,r_sq,t_stat,ticker,horizon_min
43986,2.4882349400534016e-10,-2.5802553883059766e-05,1.5771922080354273e-05,0.832900451513592,SPY,5
43966,-9.669419230388767e-10,-2.963411212954531e-05,0.00020711346463009317,-3.0178506637759255,SPY,15
43814,-8.063632728069607e-10,-2.9984905350404247e-05,0.00012157672256163377,-2.3080656464630214,SPY,30
43986,-3.176286957114314e-11,-2.87808104100618e-06,4.479930015954814e-06,-0.44389877739512457,QQQ,5
43966,-7.159674197145235e-11,-6.013506541321513e-06,7.831421326431887e-06,-0.5867736391326174,QQQ,15
43814,2.921643519508559e-10,-1.3858118416199391e-05,6.844162097452422e-05,1.7316955675840455,QQQ,30
