fire_id,ticker,day,fire_hhmm,direction,tier,opt_eod_pnl,window_mean_spread,day_p50_spread,day_p90_spread,day_p99_spread,day_mean_spread,ratio_to_day_p50,flagged_high_spread
2026-04-14_SPY_10:06_BEARISH,SPY,2026-04-14,10:06,BEARISH,A,-99.20634920634922,0.03721942252226617,0.02742718446602134,0.03438791732907843,0.05544669147516378,0.0302885578639898,1.3570267326701404,1
2026-04-14_QQQ_10:10_BEARISH,QQQ,2026-04-14,10:10,BEARISH,A,,0.047543583095457864,0.03305421880012967,0.04318311195445037,0.10784968389640467,0.03621697543776743,1.4383514365576644,1
2026-04-16_SPY_09:52_BULLISH,SPY,2026-04-16,09:52,BULLISH,A,-25.0,0.0437734460554567,0.03065116779678843,0.03727394209356128,0.04800736278987361,0.04510626426875783,1.428116747318293,1
2026-04-16_QQQ_09:55_BULLISH,QQQ,2026-04-16,09:55,BULLISH,A,132.967032967033,0.06584919244086607,0.037322570332489396,0.0496501569317797,0.07929852528165854,0.04618364759951884,1.7643263005266325,1
2026-04-20_QQQ_10:12_BULLISH,QQQ,2026-04-20,10:12,BULLISH,B,-94.66666666666669,0.04834077987602399,0.033633274432518685,0.04761339976204297,0.1100467280106848,0.038384953609149154,1.4372903230999476,1
2026-04-21_SPY_10:53_BEARISH,SPY,2026-04-21,10:53,BEARISH,B,320.4918032786885,0.03582341748334344,0.037668588618694133,0.0491140073723015,0.07707655238106073,0.0415728193436787,0.9510156551383245,0
2026-04-21_QQQ_10:26_BEARISH,QQQ,2026-04-21,10:26,BEARISH,A,275.83892617449663,0.03920419775454794,0.03967436154789515,0.056572845463069926,0.0946917191741966,0.044816129302459505,0.9881494301356399,0
2026-04-22_SPY_10:14_BEARISH,SPY,2026-04-22,10:14,BEARISH,B,-93.19727891156462,0.042308539014062736,0.03238740323715428,0.04372215216476414,0.06470354203945,0.03969809702089169,1.3063269909063626,0
2026-04-22_QQQ_09:57_BULLISH,QQQ,2026-04-22,09:57,BULLISH,B,200.9950248756219,0.06086166058716659,0.03510377147960442,0.04441299337366535,0.08983552052701138,0.05561532310654792,1.7337641518811653,1
2026-04-22_QQQ_10:07_BEARISH,QQQ,2026-04-22,10:07,BEARISH,A,-98.77300613496932,0.04534750207840096,0.03510377147960442,0.04441299337366535,0.08983552052701138,0.05561532310654792,1.291812821444221,1
2026-04-23_SPY_10:10_BULLISH,SPY,2026-04-23,10:10,BULLISH,A,-93.87755102040816,0.04097105767184451,0.03650592726540953,0.059721453005371225,0.09067979309153602,0.04955937379198405,1.1223124774772075,0
2026-04-23_SPY_13:01_BULLISH,SPY,2026-04-23,13:01,BULLISH,B,-96.34146341463416,0.04299394339402626,0.03650592726540953,0.059721453005371225,0.09067979309153602,0.04955937379198405,1.1777250056257118,0
2026-04-23_QQQ_13:07_BULLISH,QQQ,2026-04-23,13:07,BULLISH,A,,0.04869036306766303,0.042723517261726705,0.09558712309682145,0.16252084889349652,0.1602882729964178,1.1396618581139537,0
2026-04-24_SPY_10:07_BEARISH,SPY,2026-04-24,10:07,BEARISH,B,-98.36065573770492,0.06100850375283832,0.045079365079370055,0.059201561391058186,0.09631086629990335,0.0476905641481069,1.3533576536719683,1
2026-04-24_SPY_10:14_BULLISH,SPY,2026-04-24,10:14,BULLISH,A,140.8536585365854,0.06072985170857244,0.045079365079370055,0.059201561391058186,0.09631086629990335,0.0476905641481069,1.347176287901282,1
2026-04-24_QQQ_09:53_BEARISH,QQQ,2026-04-24,09:53,BEARISH,A,-99.53917050691244,0.06698277237317778,0.03402939218598681,0.04971285763529522,0.09665652868931135,0.03910710656792482,1.9683799230701824,1
2026-04-24_QQQ_10:27_BEARISH,QQQ,2026-04-24,10:27,BEARISH,A,-99.5,0.05093126895818318,0.03402939218598681,0.04971285763529522,0.09665652868931135,0.03910710656792482,1.496684650722516,1
