status,cum_ofi,abs_ofi,n_quotes,n_trades,total_volume,mean_spread,std_spread,mean_mp_dev_abs,spread_spike_minutes,day,ticker,vix1d_prior,vix9d_prior,vix_spread_prior
ok,823861.0,823861.0,4307116.0,21357.0,1763341.0,0.03473737268438215,0.05285070519259071,0.005793487359100956,23.0,2025-10-30,SPY,15.16,15.61,-0.4499999999999993
ok,884799.0,884799.0,7997053.0,15340.0,1140796.0,0.03545870063092203,0.09794741226147971,0.005419240255746404,6.0,2025-10-30,QQQ,15.16,15.61,-0.4499999999999993
ok,-90247.0,90247.0,3414048.0,20961.0,1997766.0,0.02963790480916062,0.06539879047962945,0.005219966481147153,21.0,2025-10-31,SPY,14.21,14.9,-0.6899999999999995
ok,-3294392.0,3294392.0,6016993.0,24211.0,1913537.0,0.037482730504798945,0.13109169288995157,0.007387790052472117,14.0,2025-10-31,QQQ,14.21,14.9,-0.6899999999999995
ok,-58208.0,58208.0,1530460.0,19569.0,1163122.0,0.042540334384000004,0.06031105418234833,0.009056922368893746,16.0,2025-11-03,SPY,13.77,14.71,-0.9400000000000013
ok,-1386215.0,1386215.0,5118315.0,15402.0,797100.0,0.028506829821394106,0.02318146178965877,0.005571395276204048,24.0,2025-11-03,QQQ,13.77,14.71,-0.9400000000000013
ok,-332525.0,332525.0,3917517.0,32494.0,2184121.0,0.02502125326354721,0.03841394262669792,0.004437217203027373,19.0,2025-11-04,SPY,10.0,14.97,-4.970000000000001
ok,-132662.0,132662.0,5645356.0,17758.0,1097222.0,0.03339774748850502,0.028896771769113875,0.006122478167741868,21.0,2025-11-04,QQQ,10.0,14.97,-4.970000000000001
ok,449095.0,449095.0,2458863.0,29694.0,1858737.0,0.028005626179916702,0.04746716292022184,0.0049834712842241925,23.0,2025-11-05,SPY,15.23,17.75,-2.5199999999999996
ok,330980.0,330980.0,5245777.0,23483.0,1450735.0,0.025186611181817604,0.026719072247302043,0.004256324507022552,25.0,2025-11-05,QQQ,15.23,17.75,-2.5199999999999996
ok,-1098899.0,1098899.0,4504433.0,35789.0,2276418.0,0.03795179947216421,0.05325424211275508,0.0067777811832176686,10.0,2025-11-06,SPY,13.07,15.87,-2.799999999999999
ok,-488687.0,488687.0,6987435.0,21013.0,1104830.0,0.05162592538738599,0.08009310821904043,0.008623042705415978,21.0,2025-11-06,QQQ,13.07,15.87,-2.799999999999999
ok,644953.0,644953.0,5526662.0,41649.0,2776084.0,0.03061842822861099,0.06959070667338123,0.005924400802789979,20.0,2025-11-07,SPY,15.95,18.12,-2.1700000000000017
ok,706034.0,706034.0,8317370.0,39032.0,2046515.0,0.03146996815149155,0.06168693741693568,0.005247771509912482,23.0,2025-11-07,QQQ,15.95,18.12,-2.1700000000000017
ok,1069971.0,1069971.0,3184507.0,32275.0,2085614.0,0.023240180796879024,0.0919535162274667,0.004369558343670114,13.0,2025-11-10,SPY,16.78,17.31,-0.5299999999999976
ok,1276562.0,1276562.0,5422857.0,20245.0,1396595.0,0.025086352928940427,0.02108440565823803,0.004414282764836511,11.0,2025-11-10,QQQ,16.78,17.31,-0.5299999999999976
ok,368818.0,368818.0,2662084.0,24562.0,1458914.0,0.024013487272518737,0.08759736342176198,0.004488502450796579,15.0,2025-11-11,SPY,11.21,16.04,-4.829999999999998
ok,359677.0,359677.0,6131710.0,20140.0,1118335.0,0.024961489295840973,0.06909000962018749,0.004569268684729549,12.0,2025-11-11,QQQ,11.21,16.04,-4.829999999999998
ok,-1483364.0,1483364.0,3512617.0,25682.0,1682234.0,0.024454950074218246,0.021163862377414445,0.004405420875084986,14.0,2025-11-12,SPY,10.76,15.18,-4.42
ok,-639737.0,639737.0,8106525.0,20293.0,1279222.0,0.020415353971072938,0.015681658230626384,0.003638815160203589,23.0,2025-11-12,QQQ,10.76,15.18,-4.42
