ticker,day,ts,time,direction,tier,spot,floor,king,regime,ratio,entry,p15,p30,p60,eod,ret_15m,ret_30m,ret_60m,ret_eod,opt_strike,opt_right,opt_entry,opt_entry_t,opt_30m_bid,opt_60m_bid,opt_eod_bid,opt_30m_pnl,opt_60m_pnl,opt_eod_pnl,opt_mfe
SPY,2026-04-27,1777301880,10:58,BULLISH,B,713.48,710.0,715.0,NEG,0.9235659985012854,713.67,713.0,712.88,713.185,715.15,-0.0938809253576478,-0.11069541945156747,-0.06795858029621238,0.20737876049155002,713,C,1.41,10:58,0.95,1.05,2.2,-32.62411347517731,-25.531914893617014,56.02836879432627,80.07117437722424
SPY,2026-04-28,1777390260,11:31,BULLISH,A,709.9,708.0,715.0,NEG,0.45796781686863075,709.61,709.75,710.16,710.15,711.68,0.019729146996239066,0.07750736319949159,0.07609813841404911,0.29170953058721416,710,C,1.13,11:31,1.04,1.12,1.61,-7.964601769911495,-0.8849557522123686,42.477876106194714,93.77777777777779
SPY,2026-04-28,1777396680,13:18,BULLISH,A,709.94,708.0,715.0,NEG,0.47295411548649197,709.68,710.41,710.85,711.36,711.68,0.10286326231541132,0.16486303686169546,0.2367264119039758,0.28181715702852994,710,C,0.71,13:18,1.27,1.49,1.61,78.87323943661973,109.8591549295775,126.7605633802817,209.2198581560284
QQQ,2026-04-28,1777395780,13:03,BULLISH,B,655.5499,655.0,675.0,POS,1.2761493932577292,655.03,654.88,655.9301,656.6951,657.57,-0.022899714516888547,0.13741355357770324,0.2542020976138648,0.3877684991527186,656,C,0.77,13:03,0.82,1.31,1.49,6.493506493506485,70.12987012987013,93.5064935064935,282.35294117647055
