setup,n,days,policy,mean_pnl,ci_lo,ci_hi,median_pnl,win50_rate,mean_mfe,mean_eod
ema_cross_imm,399,122,pol_tp50_s30,15.736890472831233,12.936824050034732,18.58476589227924,50.0,0.5413533834586466,111.2248872180451,-2.88704260651629
ema_cross_imm,399,122,pol_tp100_s30,21.70322615647046,17.26782844308004,26.521389240979016,-30.0,0.5413533834586466,111.2248872180451,-2.88704260651629
ema_cross_imm,399,122,pol_tp50_und_inv,8.856224421326162,5.208734668109667,12.503739054501656,50.0,0.5413533834586466,111.2248872180451,-2.88704260651629
ema_cross_imm,399,122,pol_tp50_ts5,-0.2749546618542649,-2.104779196828463,1.5859168314800973,-0.36,0.5413533834586466,111.2248872180451,-2.88704260651629
ema_cross_imm,399,122,pol_tp50_ts10,0.30527549865631576,-2.0804485355261955,2.656893266623584,-1.94,0.5413533834586466,111.2248872180451,-2.88704260651629
ema_cross_imm,399,122,pol_tp50_ts30,-1.207828580848899,-4.382602911915037,1.9427732296542335,-4.05,0.5413533834586466,111.2248872180451,-2.88704260651629
ema_cross_pullback,261,110,pol_tp50_s30,11.900121981144192,8.638264233954452,15.272836524822688,50.0,0.5019157088122606,98.91321839080459,-16.4091570881226
ema_cross_pullback,261,110,pol_tp100_s30,15.085757204644338,9.684665117845118,20.915826331719124,-30.0,0.5019157088122606,98.91321839080459,-16.4091570881226
ema_cross_pullback,261,110,pol_tp50_und_inv,10.307653175225914,6.531345912793741,14.115310935386244,50.0,0.5019157088122606,98.91321839080459,-16.4091570881226
ema_cross_pullback,261,110,pol_tp50_ts5,-0.9815689958066173,-2.902523317321438,0.940423369798368,-2.46,0.5019157088122606,98.91321839080459,-16.4091570881226
ema_cross_pullback,261,110,pol_tp50_ts10,-0.8757255946254009,-4.008044674848357,2.2938003197061403,-3.94,0.5019157088122606,98.91321839080459,-16.4091570881226
ema_cross_pullback,261,110,pol_tp50_ts30,-3.8161568018340932,-7.517956719064252,-0.2469714876730866,-12.47,0.5019157088122606,98.91321839080459,-16.4091570881226
failed_pdh_break,45,45,pol_tp50_s30,9.313777777777778,0.2222222222222222,19.77777777777778,-30.0,0.4888888888888889,110.65088888888891,-20.423555555555552
failed_pdh_break,45,45,pol_tp100_s30,5.912547555555555,-6.934477777777776,20.964666666666663,-30.0,0.4888888888888889,110.65088888888891,-20.423555555555552
failed_pdh_break,45,45,pol_tp50_und_inv,11.060674666666666,1.731011111111112,21.05874444444444,3.35,0.4888888888888889,110.65088888888891,-20.423555555555552
failed_pdh_break,45,45,pol_tp50_ts5,-2.872663111111111,-8.182166666666665,2.458544444444434,-8.75,0.4888888888888889,110.65088888888891,-20.423555555555552
failed_pdh_break,45,45,pol_tp50_ts10,-2.5126,-9.868888888888888,4.5004777777777765,-8.37,0.4888888888888889,110.65088888888891,-20.423555555555552
failed_pdh_break,45,45,pol_tp50_ts30,-8.232707111111111,-18.44485555555556,1.809533333333331,-18.73,0.4888888888888889,110.65088888888891,-20.423555555555552
failed_pdl_break,39,39,pol_tp50_s30,9.902627692307691,-0.2881923076923072,20.383961538461538,29.58,0.46153846153846156,80.89666666666665,-21.169999999999995
failed_pdl_break,39,39,pol_tp100_s30,13.555398461538461,-3.2240769230769226,29.290512820512816,-30.0,0.46153846153846156,80.89666666666665,-21.169999999999995
failed_pdl_break,39,39,pol_tp50_und_inv,8.652934358974358,-1.5731410256410245,18.740641025641022,-10.05,0.46153846153846156,80.89666666666665,-21.169999999999995
failed_pdl_break,39,39,pol_tp50_ts5,-6.031037948717948,-11.090192307692309,-0.9545128205128233,-7.28,0.46153846153846156,80.89666666666665,-21.169999999999995
failed_pdl_break,39,39,pol_tp50_ts10,-9.483591794871794,-14.884371794871797,-3.9968589743589775,-12.85,0.46153846153846156,80.89666666666665,-21.169999999999995
failed_pdl_break,39,39,pol_tp50_ts30,-15.181037435897435,-23.925384615384615,-6.683833333333335,-14.22,0.46153846153846156,80.89666666666665,-21.169999999999995
failed_pmh_break,57,57,pol_tp50_s30,14.05293157894737,5.746842105263158,22.588947368421053,50.0,0.543859649122807,125.30964912280702,2.4535087719298287
failed_pmh_break,57,57,pol_tp100_s30,17.059276842105263,3.8751140350877193,29.332035087719284,-30.0,0.543859649122807,125.30964912280702,2.4535087719298287
failed_pmh_break,57,57,pol_tp50_und_inv,16.349068771929826,8.565394736842105,24.80087719298245,50.0,0.543859649122807,125.30964912280702,2.4535087719298287
failed_pmh_break,57,57,pol_tp50_ts5,-2.7373722807017544,-6.868078947368419,1.164201754385963,-1.93,0.543859649122807,125.30964912280702,2.4535087719298287
failed_pmh_break,57,57,pol_tp50_ts10,-2.8321733333333334,-9.533631578947368,3.6874736842105262,-4.22,0.543859649122807,125.30964912280702,2.4535087719298287
failed_pmh_break,57,57,pol_tp50_ts30,-8.099487719298246,-17.210394736842105,2.8373947368420986,-23.05,0.543859649122807,125.30964912280702,2.4535087719298287
failed_pml_break,58,58,pol_tp50_s30,12.00333275862069,3.628577586206897,20.21896551724138,50.0,0.5172413793103449,81.43637931034482,-21.56551724137931
failed_pml_break,58,58,pol_tp100_s30,20.922390344827587,7.417784482758621,34.015155172413785,-30.0,0.5172413793103449,81.43637931034482,-21.56551724137931
failed_pml_break,58,58,pol_tp50_und_inv,11.402131034482759,2.21823275862069,20.13994827586206,50.0,0.5172413793103449,81.43637931034482,-21.56551724137931
failed_pml_break,58,58,pol_tp50_ts5,-0.6048824137931036,-4.566879310344828,3.0902672413793066,-1.1400000000000001,0.5172413793103449,81.43637931034482,-21.56551724137931
failed_pml_break,58,58,pol_tp50_ts10,0.40407827586206896,-5.295318965517242,5.854749999999997,-1.08,0.5172413793103449,81.43637931034482,-21.56551724137931
failed_pml_break,58,58,pol_tp50_ts30,-6.671296551724138,-14.991689655172413,1.7831034482758594,-8.565000000000001,0.5172413793103449,81.43637931034482,-21.56551724137931
orb15_break,183,126,pol_tp50_s30,16.207203352310355,12.229635496074641,20.019708122923582,50.0,0.5573770491803278,117.04584699453551,1.0580874316939906
orb15_break,183,126,pol_tp100_s30,26.15257664882995,19.384237967914437,32.98601107902831,-30.0,0.5573770491803278,117.04584699453551,1.0580874316939906
orb15_break,183,126,pol_tp50_und_inv,17.203189599305915,12.894460918871765,21.040148571428574,50.0,0.5573770491803278,117.04584699453551,1.0580874316939906
orb15_break,183,126,pol_tp50_ts5,-1.3114821201368627,-3.7005797872340414,1.1760407766390903,-1.28,0.5573770491803278,117.04584699453551,1.0580874316939906
orb15_break,183,126,pol_tp50_ts10,-2.2370437379651555,-5.0692022645862425,0.43021426339634383,-6.56,0.5573770491803278,117.04584699453551,1.0580874316939906
orb15_break,183,126,pol_tp50_ts30,-4.631885571905274,-9.195367032479771,0.40438754090773704,-7.11,0.5573770491803278,117.04584699453551,1.0580874316939906
orb15_break_vwap,183,126,pol_tp50_s30,16.207203352310355,12.229635496074641,20.019708122923582,50.0,0.5573770491803278,117.04584699453551,1.0580874316939906
orb15_break_vwap,183,126,pol_tp100_s30,26.15257664882995,19.384237967914437,32.98601107902831,-30.0,0.5573770491803278,117.04584699453551,1.0580874316939906
orb15_break_vwap,183,126,pol_tp50_und_inv,17.203189599305915,12.894460918871765,21.040148571428574,50.0,0.5573770491803278,117.04584699453551,1.0580874316939906
orb15_break_vwap,183,126,pol_tp50_ts5,-1.3114821201368627,-3.7005797872340414,1.1760407766390903,-1.28,0.5573770491803278,117.04584699453551,1.0580874316939906
orb15_break_vwap,183,126,pol_tp50_ts10,-2.2370437379651555,-5.0692022645862425,0.43021426339634383,-6.56,0.5573770491803278,117.04584699453551,1.0580874316939906
orb15_break_vwap,183,126,pol_tp50_ts30,-4.631885571905274,-9.195367032479771,0.40438754090773704,-7.11,0.5573770491803278,117.04584699453551,1.0580874316939906
orb30_break,161,125,pol_tp50_s30,15.882255648626234,11.093278151065801,21.17357975543478,50.0,0.5590062111801242,117.06807453416148,1.5308074534161489
orb30_break,161,125,pol_tp100_s30,26.56285811112767,18.876867135207497,34.48891393939393,-30.0,0.5590062111801242,117.06807453416148,1.5308074534161489
orb30_break,161,125,pol_tp50_und_inv,18.046867603624754,13.343483033932136,22.784547560975607,50.0,0.5590062111801242,117.06807453416148,1.5308074534161489
orb30_break,161,125,pol_tp50_ts5,-2.2182538734225425,-4.960358433734941,0.38321739130434057,-2.14,0.5590062111801242,117.06807453416148,1.5308074534161489
orb30_break,161,125,pol_tp50_ts10,-2.7006874684942392,-5.9622215447928975,0.3338030874785594,-5.57,0.5590062111801242,117.06807453416148,1.5308074534161489
orb30_break,161,125,pol_tp50_ts30,-2.8521641752874602,-7.84598766963115,2.155860557432432,-4.3,0.5590062111801242,117.06807453416148,1.5308074534161489
orb30_break_vwap,161,125,pol_tp50_s30,15.882255648626234,11.093278151065801,21.17357975543478,50.0,0.5590062111801242,117.06807453416148,1.5308074534161489
orb30_break_vwap,161,125,pol_tp100_s30,26.56285811112767,18.876867135207497,34.48891393939393,-30.0,0.5590062111801242,117.06807453416148,1.5308074534161489
orb30_break_vwap,161,125,pol_tp50_und_inv,18.046867603624754,13.343483033932136,22.784547560975607,50.0,0.5590062111801242,117.06807453416148,1.5308074534161489
orb30_break_vwap,161,125,pol_tp50_ts5,-2.2182538734225425,-4.960358433734941,0.38321739130434057,-2.14,0.5590062111801242,117.06807453416148,1.5308074534161489
orb30_break_vwap,161,125,pol_tp50_ts10,-2.7006874684942392,-5.9622215447928975,0.3338030874785594,-5.57,0.5590062111801242,117.06807453416148,1.5308074534161489
orb30_break_vwap,161,125,pol_tp50_ts30,-2.8521641752874602,-7.84598766963115,2.155860557432432,-4.3,0.5590062111801242,117.06807453416148,1.5308074534161489
orb5_break,207,126,pol_tp50_s30,14.785232045041823,11.542304224270353,18.02068407960199,50.0,0.5410628019323671,114.05937198067633,-1.08101449275362
orb5_break,207,126,pol_tp100_s30,24.290868447179758,18.487187424633937,30.237201402439023,-30.0,0.5410628019323671,114.05937198067633,-1.08101449275362
orb5_break,207,126,pol_tp50_und_inv,16.15944748636023,12.378362421383647,19.470845350276026,50.0,0.5410628019323671,114.05937198067633,-1.08101449275362
orb5_break,207,126,pol_tp50_ts5,1.183265672480386,-1.119892891319207,3.4216283929340805,0.0,0.5410628019323671,114.05937198067633,-1.08101449275362
orb5_break,207,126,pol_tp50_ts10,-0.9564555721026641,-4.021297619047619,2.0386525704809273,-0.41,0.5410628019323671,114.05937198067633,-1.08101449275362
orb5_break,207,126,pol_tp50_ts30,-6.972995211656974,-11.200584494069016,-2.915821502639526,-11.03,0.5410628019323671,114.05937198067633,-1.08101449275362
pmh_break,80,80,pol_tp50_s30,19.662254,12.411625,26.74675,50.0,0.6125,113.74112500000001,13.303250000000002
pmh_break,80,80,pol_tp100_s30,26.6991085,15.911425000000003,38.54581874999999,-26.595,0.6125,113.74112500000001,13.303250000000002
