setup,month,n,mean,win50
ema_cross_imm,2025-10,11,13.636363636363637,0.5454545454545454
ema_cross_imm,2025-11,53,21.39301886792453,0.6415094339622641
ema_cross_imm,2025-12,69,13.333333333333334,0.5362318840579711
ema_cross_imm,2026-01,67,16.893283582089552,0.582089552238806
ema_cross_imm,2026-02,50,15.572799999999999,0.52
ema_cross_imm,2026-03,76,15.751315789473683,0.5394736842105263
ema_cross_imm,2026-04,68,11.059411764705883,0.4411764705882353
ema_cross_imm,2026-05,5,31.918,0.6
ema_cross_pullback,2025-10,9,14.444444444444445,0.5555555555555556
ema_cross_pullback,2025-11,26,13.076923076923077,0.5384615384615384
ema_cross_pullback,2025-12,48,6.666666666666667,0.4583333333333333
ema_cross_pullback,2026-01,42,21.700952380952383,0.6428571428571429
ema_cross_pullback,2026-02,33,11.459090909090909,0.5151515151515151
ema_cross_pullback,2026-03,50,9.362400000000001,0.48
ema_cross_pullback,2026-04,49,8.493673469387755,0.3877551020408163
ema_cross_pullback,2026-05,4,30.0,0.75
failed_pdh_break,2025-11,7,15.714285714285714,0.5714285714285714
failed_pdh_break,2025-12,9,14.444444444444445,0.5555555555555556
failed_pdh_break,2026-01,8,0.0,0.375
failed_pdh_break,2026-02,7,-7.142857142857143,0.2857142857142857
failed_pdh_break,2026-03,7,27.142857142857142,0.7142857142857143
failed_pdh_break,2026-04,7,4.285714285714286,0.42857142857142855
failed_pdl_break,2025-10,1,50.0,1.0
failed_pdl_break,2025-11,4,10.0,0.5
failed_pdl_break,2025-12,6,-3.3333333333333335,0.3333333333333333
failed_pdl_break,2026-01,3,23.333333333333332,0.6666666666666666
failed_pdl_break,2026-02,9,3.3855555555555554,0.3333333333333333
failed_pdl_break,2026-03,11,-0.3845454545454549,0.36363636363636365
failed_pdl_break,2026-04,5,45.916,0.8
failed_pmh_break,2025-11,10,2.0,0.4
failed_pmh_break,2025-12,11,2.506363636363636,0.36363636363636365
failed_pmh_break,2026-01,11,28.181818181818183,0.7272727272727273
failed_pmh_break,2026-02,8,10.0,0.5
failed_pmh_break,2026-03,8,30.0,0.75
failed_pmh_break,2026-04,9,14.444444444444445,0.5555555555555556
failed_pml_break,2025-10,1,-30.0,0.0
failed_pml_break,2025-11,9,23.333333333333332,0.6666666666666666
failed_pml_break,2025-12,10,2.0,0.4
failed_pml_break,2026-01,8,10.0,0.5
failed_pml_break,2026-02,9,23.333333333333332,0.6666666666666666
failed_pml_break,2026-03,14,10.0,0.5
failed_pml_break,2026-04,7,11.078571428571427,0.42857142857142855
orb15_break,2025-10,2,10.0,0.5
orb15_break,2025-11,30,24.430999999999997,0.6666666666666666
orb15_break,2025-12,30,5.2490000000000006,0.43333333333333335
orb15_break,2026-01,29,22.413793103448278,0.6551724137931034
orb15_break,2026-02,24,20.254583333333333,0.5833333333333334
orb15_break,2026-03,35,13.383142857142856,0.5142857142857142
orb15_break,2026-04,32,11.778749999999999,0.5
orb15_break,2026-05,1,50.0,1.0
orb15_break_vwap,2025-10,2,10.0,0.5
orb15_break_vwap,2025-11,30,24.430999999999997,0.6666666666666666
orb15_break_vwap,2025-12,30,5.2490000000000006,0.43333333333333335
orb15_break_vwap,2026-01,29,22.413793103448278,0.6551724137931034
orb15_break_vwap,2026-02,24,20.254583333333333,0.5833333333333334
orb15_break_vwap,2026-03,35,13.383142857142856,0.5142857142857142
orb15_break_vwap,2026-04,32,11.778749999999999,0.5
orb15_break_vwap,2026-05,1,50.0,1.0
orb30_break,2025-10,1,50.0,1.0
orb30_break,2025-11,27,21.59,0.6296296296296297
orb30_break,2025-12,26,6.923076923076923,0.46153846153846156
orb30_break,2026-01,26,22.307692307692307,0.6538461538461539
orb30_break,2026-02,22,19.967272727272725,0.5909090909090909
orb30_break,2026-03,30,10.518666666666666,0.5
orb30_break,2026-04,28,14.89,0.5357142857142857
orb30_break,2026-05,1,-30.0,0.0
orb30_break_vwap,2025-10,1,50.0,1.0
orb30_break_vwap,2025-11,27,21.59,0.6296296296296297
orb30_break_vwap,2025-12,26,6.923076923076923,0.46153846153846156
orb30_break_vwap,2026-01,26,22.307692307692307,0.6538461538461539
orb30_break_vwap,2026-02,22,19.967272727272725,0.5909090909090909
orb30_break_vwap,2026-03,30,10.518666666666666,0.5
orb30_break_vwap,2026-04,28,14.89,0.5357142857142857
orb30_break_vwap,2026-05,1,-30.0,0.0
orb5_break,2025-10,3,14.339999999999998,0.3333333333333333
orb5_break,2025-11,34,18.276764705882353,0.5882352941176471
orb5_break,2025-12,33,11.724545454545453,0.5151515151515151
orb5_break,2026-01,32,20.0,0.625
orb5_break,2026-02,28,19.864642857142858,0.6071428571428571
orb5_break,2026-03,39,10.984871794871793,0.48717948717948717
orb5_break,2026-04,37,8.934864864864865,0.4594594594594595
orb5_break,2026-05,1,50.0,1.0
pmh_break,2025-11,13,34.07153846153846,0.7692307692307693
pmh_break,2025-12,14,21.428571428571427,0.6428571428571429
pmh_break,2026-01,16,15.0,0.5625
pmh_break,2026-02,12,23.333333333333332,0.6666666666666666
pmh_break,2026-03,11,13.636363636363637,0.5454545454545454
pmh_break,2026-04,14,11.915000000000001,0.5
pml_break,2025-10,2,50.0,1.0
pml_break,2025-11,14,21.428571428571427,0.6428571428571429
pml_break,2025-12,13,25.384615384615383,0.6923076923076923
pml_break,2026-01,10,18.0,0.6
pml_break,2026-02,13,7.556923076923078,0.46153846153846156
pml_break,2026-03,14,9.88642857142857,0.42857142857142855
pml_break,2026-04,7,4.285714285714286,0.42857142857142855
sweep_pmh,2025-11,8,10.0,0.5
sweep_pmh,2025-12,9,14.444444444444445,0.5555555555555556
sweep_pmh,2026-01,8,40.0,0.875
sweep_pmh,2026-02,13,13.076923076923077,0.5384615384615384
sweep_pmh,2026-03,5,34.0,0.8
sweep_pmh,2026-04,6,10.0,0.5
sweep_pml,2025-10,1,-30.0,0.0
sweep_pml,2025-11,8,25.17625,0.625
sweep_pml,2025-12,8,0.0,0.375
sweep_pml,2026-01,8,20.0,0.625
sweep_pml,2026-02,11,28.181818181818183,0.7272727272727273
sweep_pml,2026-03,7,27.142857142857142,0.7142857142857143
sweep_pml,2026-04,5,-3.0199999999999987,0.2
vwap_2sd_fade,2025-10,3,-3.3333333333333335,0.3333333333333333
vwap_2sd_fade,2025-11,26,22.307692307692307,0.6538461538461539
vwap_2sd_fade,2025-12,33,10.22090909090909,0.48484848484848486
vwap_2sd_fade,2026-01,27,29.25925925925926,0.7407407407407407
vwap_2sd_fade,2026-02,19,4.893157894736843,0.42105263157894735
vwap_2sd_fade,2026-03,33,6.363636363636363,0.45454545454545453
vwap_2sd_fade,2026-04,32,9.145624999999999,0.4375
vwap_2sd_fade,2026-05,2,50.0,1.0
vwap_lose,2025-10,2,50.0,1.0
vwap_lose,2025-11,12,23.333333333333332,0.6666666666666666
vwap_lose,2025-12,19,22.32578947368421,0.631578947368421
vwap_lose,2026-01,18,14.444444444444445,0.5555555555555556
vwap_lose,2026-02,12,-10.0,0.25
vwap_lose,2026-03,17,35.88235294117647,0.8235294117647058
vwap_lose,2026-04,16,5.0,0.4375
vwap_lose,2026-05,1,50.0,1.0
vwap_reclaim,2025-10,2,10.0,0.5
vwap_reclaim,2025-11,13,25.384615384615383,0.6923076923076923
vwap_reclaim,2025-12,17,-5.475882352941177,0.29411764705882354
vwap_reclaim,2026-01,17,21.764705882352942,0.6470588235294118
vwap_reclaim,2026-02,10,13.621,0.5
vwap_reclaim,2026-03,19,3.6842105263157894,0.42105263157894735
vwap_reclaim,2026-04,19,21.52157894736842,0.5263157894736842
vwap_reclaim,2026-05,1,50.0,1.0
