ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2026-03-31 13:30:00+00:00,33,95,16253,322.52,323.09,321.32,322.58,6040,TSM
2026-03-31 13:30:00+00:00,33,95,10996,321.54,323.59,319.0,323.59,49865,MU
2026-03-31 13:31:00+00:00,33,95,16253,322.9,323.54,322.86,323.38,6582,TSM
2026-03-31 13:31:00+00:00,33,95,10996,323.46,324.35,321.52,324.115,27079,MU
2026-03-31 13:32:00+00:00,33,95,16253,323.34,323.34,322.24,322.36,2306,TSM
2026-03-31 13:32:00+00:00,33,95,10996,324.5,325.0,319.76,320.6,12366,MU
2026-03-31 13:33:00+00:00,33,95,10996,320.45,324.9,320.45,322.5,9740,MU
2026-03-31 13:33:00+00:00,33,95,16253,322.69,323.41,322.64,323.36,1259,TSM
2026-03-31 13:34:00+00:00,33,95,16253,323.25,324.12,323.15,324.12,2121,TSM
2026-03-31 13:34:00+00:00,33,95,10996,322.26,323.6,319.87,322.75,11276,MU
2026-03-31 13:35:00+00:00,33,95,16253,324.08,324.08,322.6,322.73,2713,TSM
2026-03-31 13:35:00+00:00,33,95,10996,322.69,322.73,320.59,320.89,9322,MU
2026-03-31 13:36:00+00:00,33,95,10996,321.095,322.15,317.26,319.17,17616,MU
2026-03-31 13:36:00+00:00,33,95,16253,322.61,323.33,322.61,323.19,3216,TSM
2026-03-31 13:37:00+00:00,33,95,16253,323.01,323.745,322.75,323.32,2379,TSM
2026-03-31 13:37:00+00:00,33,95,10996,319.25,319.39,317.61,318.115,12448,MU
2026-03-31 13:38:00+00:00,33,95,16253,323.21,323.55,322.65,323.5,2526,TSM
2026-03-31 13:38:00+00:00,33,95,10996,318.05,318.05,315.93,316.76,9205,MU
2026-03-31 13:39:00+00:00,33,95,10996,316.64,317.5,314.45,314.45,10754,MU
2026-03-31 13:39:00+00:00,33,95,16253,323.46,323.59,323.14,323.34,2488,TSM
2026-03-31 13:40:00+00:00,33,95,10996,314.59,314.89,312.85,313.855,17504,MU
2026-03-31 13:40:00+00:00,33,95,16253,323.32,323.32,322.7,323.15,1542,TSM
2026-03-31 13:41:00+00:00,33,95,10996,313.89,314.5,312.62,312.675,25114,MU
2026-03-31 13:41:00+00:00,33,95,16253,323.1,323.64,322.81,323.37,808,TSM
2026-03-31 13:42:00+00:00,33,95,16253,323.19,323.31,322.73,322.73,1782,TSM
2026-03-31 13:42:00+00:00,33,95,10996,312.62,315.0,311.5,312.0,16046,MU
2026-03-31 13:43:00+00:00,33,95,16253,322.5,323.52,322.41,322.87,1778,TSM
2026-03-31 13:43:00+00:00,33,95,10996,312.06,314.17,311.78,314.17,16299,MU
2026-03-31 13:44:00+00:00,33,95,10996,313.98,317.05,313.5,316.6,10792,MU
2026-03-31 13:44:00+00:00,33,95,16253,322.75,323.1,322.55,322.68,1271,TSM
2026-03-31 13:45:00+00:00,33,95,16253,322.88,323.53,322.88,323.46,3127,TSM
2026-03-31 13:45:00+00:00,33,95,10996,316.63,317.77,316.0,316.99,16070,MU
2026-03-31 13:46:00+00:00,33,95,10996,317.28,318.33,316.0,317.78,9581,MU
2026-03-31 13:46:00+00:00,33,95,16253,323.43,323.99,323.26,323.85,2402,TSM
2026-03-31 13:47:00+00:00,33,95,16253,323.88,324.43,323.88,324.32,2554,TSM
2026-03-31 13:47:00+00:00,33,95,10996,317.91,318.32,317.12,318.07,11970,MU
2026-03-31 13:48:00+00:00,33,95,16253,324.385,324.59,323.62,323.635,2057,TSM
2026-03-31 13:48:00+00:00,33,95,10996,318.0,318.3,316.82,316.82,10000,MU
2026-03-31 13:49:00+00:00,33,95,16253,323.77,324.64,323.57,324.42,3544,TSM
2026-03-31 13:49:00+00:00,33,95,10996,316.88,318.98,316.35,318.72,16710,MU
2026-03-31 13:50:00+00:00,33,95,16253,324.46,324.68,323.95,324.03,2788,TSM
2026-03-31 13:50:00+00:00,33,95,10996,319.0,319.98,318.5,318.94,13044,MU
2026-03-31 13:51:00+00:00,33,95,10996,319.11,319.4,317.4,318.12,10818,MU
2026-03-31 13:51:00+00:00,33,95,16253,324.21,324.22,323.9,324.22,1108,TSM
2026-03-31 13:52:00+00:00,33,95,16253,324.16,324.36,324.07,324.36,1723,TSM
2026-03-31 13:52:00+00:00,33,95,10996,318.17,318.98,317.0,317.76,13793,MU
2026-03-31 13:53:00+00:00,33,95,16253,324.385,324.8,324.35,324.7,2893,TSM
2026-03-31 13:53:00+00:00,33,95,10996,317.89,318.06,316.2,317.68,9392,MU
2026-03-31 13:54:00+00:00,33,95,16253,324.66,325.495,324.62,325.4,4090,TSM
2026-03-31 13:54:00+00:00,33,95,10996,317.695,318.895,316.91,318.28,13032,MU
2026-03-31 13:55:00+00:00,33,95,10996,318.24,320.26,317.67,319.76,13930,MU
2026-03-31 13:55:00+00:00,33,95,16253,325.33,326.35,325.33,325.745,6201,TSM
2026-03-31 13:56:00+00:00,33,95,16253,325.765,325.81,325.16,325.16,3659,TSM
2026-03-31 13:56:00+00:00,33,95,10996,319.93,321.575,319.93,321.56,11609,MU
2026-03-31 13:57:00+00:00,33,95,10996,321.34,325.34,321.3,324.98,13912,MU
2026-03-31 13:57:00+00:00,33,95,16253,325.1,325.33,324.93,325.33,1910,TSM
2026-03-31 13:58:00+00:00,33,95,10996,325.03,327.0,325.03,326.76,17230,MU
2026-03-31 13:58:00+00:00,33,95,16253,325.28,326.3,325.13,326.24,3295,TSM
2026-03-31 13:59:00+00:00,33,95,16253,326.235,326.45,326.15,326.4,3294,TSM
2026-03-31 13:59:00+00:00,33,95,10996,326.72,327.415,325.585,325.765,25746,MU
2026-03-31 14:00:00+00:00,33,95,16253,326.4,326.64,326.02,326.41,2961,TSM
2026-03-31 14:00:00+00:00,33,95,10996,325.655,326.21,324.715,325.825,20748,MU
2026-03-31 14:01:00+00:00,33,95,16253,326.35,326.525,325.87,326.17,1473,TSM
2026-03-31 14:01:00+00:00,33,95,10996,325.89,326.755,325.63,326.58,9378,MU
2026-03-31 14:02:00+00:00,33,95,10996,326.505,326.64,325.46,326.19,10402,MU
2026-03-31 14:02:00+00:00,33,95,16253,326.14,326.36,325.94,326.32,1102,TSM
2026-03-31 14:03:00+00:00,33,95,10996,326.24,327.265,325.815,326.725,9712,MU
2026-03-31 14:03:00+00:00,33,95,16253,326.315,326.35,326.04,326.29,2187,TSM
2026-03-31 14:04:00+00:00,33,95,16253,326.335,326.68,326.23,326.62,2639,TSM
2026-03-31 14:04:00+00:00,33,95,10996,326.745,328.51,326.745,328.06,10458,MU
2026-03-31 14:05:00+00:00,33,95,10996,328.0,328.0,326.33,326.55,6025,MU
2026-03-31 14:05:00+00:00,33,95,16253,326.62,326.845,326.0,326.0,2766,TSM
2026-03-31 14:06:00+00:00,33,95,10996,326.16,328.06,325.74,328.06,5240,MU
2026-03-31 14:06:00+00:00,33,95,16253,326.02,326.14,325.87,326.14,801,TSM
2026-03-31 14:07:00+00:00,33,95,16253,326.02,326.04,325.42,325.69,1373,TSM
2026-03-31 14:07:00+00:00,33,95,10996,327.84,328.13,325.8,326.35,4705,MU
2026-03-31 14:08:00+00:00,33,95,10996,326.42,327.63,326.42,327.42,4439,MU
2026-03-31 14:08:00+00:00,33,95,16253,325.78,326.3,325.58,326.28,2868,TSM
2026-03-31 14:09:00+00:00,33,95,16253,326.32,326.41,325.62,325.99,1513,TSM
2026-03-31 14:09:00+00:00,33,95,10996,327.41,327.455,325.83,326.14,4181,MU
2026-03-31 14:10:00+00:00,33,95,16253,326.12,326.2,325.68,325.93,2451,TSM
2026-03-31 14:10:00+00:00,33,95,10996,325.74,326.24,323.09,323.36,8101,MU
2026-03-31 14:11:00+00:00,33,95,16253,325.97,327.07,325.97,326.94,2492,TSM
2026-03-31 14:11:00+00:00,33,95,10996,323.385,324.91,323.305,324.62,7745,MU
2026-03-31 14:12:00+00:00,33,95,16253,326.88,326.88,326.26,326.36,2661,TSM
2026-03-31 14:12:00+00:00,33,95,10996,324.68,324.68,323.6,324.35,7784,MU
2026-03-31 14:13:00+00:00,33,95,16253,326.34,326.81,326.28,326.63,3486,TSM
2026-03-31 14:13:00+00:00,33,95,10996,324.39,324.77,323.5,324.62,12330,MU
2026-03-31 14:14:00+00:00,33,95,16253,326.59,327.0,326.54,326.73,2246,TSM
2026-03-31 14:14:00+00:00,33,95,10996,324.62,326.3,324.41,324.68,8562,MU
2026-03-31 14:15:00+00:00,33,95,10996,324.52,325.84,324.09,325.84,11941,MU
2026-03-31 14:15:00+00:00,33,95,16253,326.66,327.34,326.61,327.16,4546,TSM
2026-03-31 14:16:00+00:00,33,95,16253,327.07,327.43,326.8,327.37,1976,TSM
2026-03-31 14:16:00+00:00,33,95,10996,325.705,325.745,324.3,324.89,6972,MU
2026-03-31 14:17:00+00:00,33,95,16253,327.33,328.0,327.33,328.0,2008,TSM
2026-03-31 14:17:00+00:00,33,95,10996,325.125,328.84,325.125,328.745,16161,MU
2026-03-31 14:18:00+00:00,33,95,10996,328.8,329.12,327.89,328.18,8783,MU
2026-03-31 14:18:00+00:00,33,95,16253,328.17,328.66,327.935,328.49,1996,TSM
2026-03-31 14:19:00+00:00,33,95,16253,328.365,328.52,328.18,328.365,3231,TSM
2026-03-31 14:19:00+00:00,33,95,10996,328.12,328.205,327.31,327.69,5439,MU
2026-03-31 14:20:00+00:00,33,95,16253,328.35,328.38,328.12,328.14,3459,TSM
2026-03-31 14:20:00+00:00,33,95,10996,327.72,328.27,326.99,327.62,5132,MU
2026-03-31 14:21:00+00:00,33,95,16253,328.17,328.78,327.83,328.69,2661,TSM
2026-03-31 14:21:00+00:00,33,95,10996,327.82,328.3,326.75,328.09,3192,MU
2026-03-31 14:22:00+00:00,33,95,10996,328.12,328.29,327.21,327.645,4186,MU
2026-03-31 14:22:00+00:00,33,95,16253,328.66,328.88,328.41,328.525,3574,TSM
2026-03-31 14:23:00+00:00,33,95,16253,328.51,328.93,328.47,328.48,7108,TSM
2026-03-31 14:23:00+00:00,33,95,10996,327.59,327.9,326.33,326.5,3768,MU
2026-03-31 14:24:00+00:00,33,95,10996,326.365,326.98,325.85,326.86,3235,MU
2026-03-31 14:24:00+00:00,33,95,16253,328.57,328.69,327.67,327.76,9554,TSM
2026-03-31 14:25:00+00:00,33,95,10996,326.5,326.62,324.3,324.32,8007,MU
2026-03-31 14:25:00+00:00,33,95,16253,327.75,327.805,327.25,327.5,3663,TSM
2026-03-31 14:26:00+00:00,33,95,16253,327.57,327.68,327.27,327.67,1513,TSM
2026-03-31 14:26:00+00:00,33,95,10996,324.41,325.0,324.2,325.0,4105,MU
2026-03-31 14:27:00+00:00,33,95,16253,327.79,327.91,327.57,327.895,639,TSM
2026-03-31 14:27:00+00:00,33,95,10996,325.385,325.48,324.65,325.275,4662,MU
2026-03-31 14:28:00+00:00,33,95,10996,325.205,325.735,324.825,324.86,4435,MU
2026-03-31 14:28:00+00:00,33,95,16253,327.87,328.68,327.87,328.48,1688,TSM
2026-03-31 14:29:00+00:00,33,95,10996,324.9,324.92,323.84,324.44,4100,MU
2026-03-31 14:29:00+00:00,33,95,16253,328.4,328.69,328.19,328.45,1666,TSM
2026-03-31 14:30:00+00:00,33,95,10996,324.49,326.1,324.49,325.77,10614,MU
2026-03-31 14:30:00+00:00,33,95,16253,328.73,328.86,328.36,328.53,1383,TSM
2026-03-31 14:31:00+00:00,33,95,16253,328.69,328.75,328.43,328.43,680,TSM
2026-03-31 14:31:00+00:00,33,95,10996,325.83,327.46,325.78,327.4,5202,MU
2026-03-31 14:32:00+00:00,33,95,16253,328.365,329.035,328.31,328.895,2030,TSM
2026-03-31 14:32:00+00:00,33,95,10996,327.46,327.69,327.0,327.57,4825,MU
2026-03-31 14:33:00+00:00,33,95,16253,328.93,329.2,328.75,328.94,598,TSM
2026-03-31 14:33:00+00:00,33,95,10996,327.4,328.68,327.23,328.42,2764,MU
2026-03-31 14:34:00+00:00,33,95,16253,328.93,328.93,328.33,328.48,1051,TSM
2026-03-31 14:34:00+00:00,33,95,10996,328.4,328.52,327.54,328.0,1572,MU
2026-03-31 14:35:00+00:00,33,95,16253,328.46,328.56,328.24,328.27,1495,TSM
2026-03-31 14:35:00+00:00,33,95,10996,328.25,328.71,328.17,328.43,3660,MU
2026-03-31 14:36:00+00:00,33,95,16253,328.14,328.31,327.76,327.76,692,TSM
2026-03-31 14:36:00+00:00,33,95,10996,328.49,328.85,328.0,328.29,3783,MU
2026-03-31 14:37:00+00:00,33,95,10996,328.23,329.38,328.14,328.83,7416,MU
2026-03-31 14:37:00+00:00,33,95,16253,327.75,328.07,327.67,327.82,2343,TSM
2026-03-31 14:38:00+00:00,33,95,16253,327.805,328.06,327.27,327.27,7424,TSM
2026-03-31 14:38:00+00:00,33,95,10996,329.0,329.015,326.83,326.88,6367,MU
2026-03-31 14:39:00+00:00,33,95,10996,326.91,328.24,326.91,328.2,4671,MU
2026-03-31 14:39:00+00:00,33,95,16253,327.365,328.16,327.365,328.16,3119,TSM
2026-03-31 14:40:00+00:00,33,95,16253,328.25,328.47,327.97,327.97,728,TSM
2026-03-31 14:40:00+00:00,33,95,10996,328.31,329.035,328.05,328.06,9691,MU
2026-03-31 14:41:00+00:00,33,95,16253,327.96,328.01,327.61,327.75,899,TSM
2026-03-31 14:41:00+00:00,33,95,10996,328.11,328.145,326.875,326.875,6267,MU
2026-03-31 14:42:00+00:00,33,95,10996,327.0,327.1,325.555,325.7,5496,MU
2026-03-31 14:42:00+00:00,33,95,16253,327.63,327.67,327.02,327.2,2726,TSM
2026-03-31 14:43:00+00:00,33,95,16253,327.0,327.01,326.6,326.6,1139,TSM
2026-03-31 14:43:00+00:00,33,95,10996,325.51,325.87,325.33,325.355,5807,MU
2026-03-31 14:44:00+00:00,33,95,16253,326.55,326.9,326.45,326.88,986,TSM
2026-03-31 14:44:00+00:00,33,95,10996,325.515,326.75,325.25,326.75,4862,MU
2026-03-31 14:45:00+00:00,33,95,10996,326.82,327.28,325.94,327.05,7643,MU
2026-03-31 14:45:00+00:00,33,95,16253,326.865,327.025,326.61,326.89,461,TSM
2026-03-31 14:46:00+00:00,33,95,16253,327.065,327.21,326.85,327.14,2399,TSM
2026-03-31 14:46:00+00:00,33,95,10996,326.965,328.85,326.965,328.52,2979,MU
2026-03-31 14:47:00+00:00,33,95,16253,326.94,326.97,326.33,326.38,1455,TSM
2026-03-31 14:47:00+00:00,33,95,10996,328.315,328.445,326.79,326.99,3220,MU
2026-03-31 14:48:00+00:00,33,95,16253,326.2,326.2,325.61,325.61,1196,TSM
2026-03-31 14:48:00+00:00,33,95,10996,327.02,327.23,325.84,325.84,1965,MU
2026-03-31 14:49:00+00:00,33,95,16253,325.55,325.72,325.39,325.45,2006,TSM
2026-03-31 14:49:00+00:00,33,95,10996,325.87,325.93,324.82,325.33,7121,MU
2026-03-31 14:50:00+00:00,33,95,16253,325.39,325.46,325.0,325.27,1122,TSM
2026-03-31 14:50:00+00:00,33,95,10996,325.33,325.74,324.81,325.06,2200,MU
2026-03-31 14:51:00+00:00,33,95,16253,325.17,325.28,325.01,325.02,1450,TSM
2026-03-31 14:51:00+00:00,33,95,10996,325.065,325.065,323.33,323.94,5481,MU
2026-03-31 14:52:00+00:00,33,95,16253,324.99,325.21,324.99,325.06,1343,TSM
2026-03-31 14:52:00+00:00,33,95,10996,324.05,324.8,324.04,324.39,1861,MU
2026-03-31 14:53:00+00:00,33,95,10996,324.395,324.395,323.5,323.795,1284,MU
2026-03-31 14:53:00+00:00,33,95,16253,325.02,325.045,324.61,324.84,1715,TSM
2026-03-31 14:54:00+00:00,33,95,16253,324.76,325.04,324.72,325.02,1008,TSM
2026-03-31 14:54:00+00:00,33,95,10996,323.62,323.86,323.22,323.86,2886,MU
2026-03-31 14:55:00+00:00,33,95,16253,324.87,324.87,324.08,324.08,737,TSM
2026-03-31 14:55:00+00:00,33,95,10996,323.75,324.01,322.56,322.56,7585,MU
2026-03-31 14:56:00+00:00,33,95,16253,324.05,324.11,323.86,324.07,1324,TSM
2026-03-31 14:56:00+00:00,33,95,10996,322.52,323.18,322.37,322.89,6000,MU
2026-03-31 14:57:00+00:00,33,95,16253,324.02,324.24,323.7,323.85,1431,TSM
2026-03-31 14:57:00+00:00,33,95,10996,322.72,323.08,322.18,322.31,3135,MU
2026-03-31 14:58:00+00:00,33,95,16253,323.9,324.55,323.9,324.41,2852,TSM
2026-03-31 14:58:00+00:00,33,95,10996,322.37,323.5,321.82,323.5,4631,MU
2026-03-31 14:59:00+00:00,33,95,10996,323.45,323.86,322.5,322.555,5576,MU
2026-03-31 14:59:00+00:00,33,95,16253,324.42,324.78,324.42,324.74,1392,TSM
2026-03-31 15:00:00+00:00,33,95,10996,322.65,323.835,322.65,323.74,6719,MU
